Rank,Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
8,Kevin Durant,34.6,26,6.4,5.9,0.7,1.1,0.521,0.353,0.885,11.5,0.204
9,Kawhi Leonard,34,26.6,7.3,3.3,1.8,0.4,0.496,0.371,0.854,9.5,0.224
10,Russell Westbrook,36,22.9,11.1,10.7,1.9,0.5,0.428,0.29,0.656,6.8,0.124
11,Rudy Gobert,31.8,15.9,12.9,2,0.8,2.3,0.669,,0.636,14.4,0.268
11,LeBron James,35.2,27.4,8.5,8.3,1.3,0.6,0.51,0.339,0.665,7.2,0.179
1,James Harden,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,15.4,0.289
2,LeBron James,36.9,27.5,8.6,9.1,1.4,0.9,0.542,0.367,0.731,14,0.221
3,Anthony Davis,36.4,28.1,11.1,2.3,1.5,2.6,0.534,0.34,0.828,13.7,0.241
4,Damian Lillard,36.6,26.9,4.5,6.6,1.1,0.4,0.439,0.361,0.916,12.6,0.227
5,Russell Westbrook,36.4,25.4,10.1,10.3,1.8,0.3,0.449,0.298,0.737,10.1,0.166
6,Giannis Antetokounmpo,36.7,26.9,10,4.8,1.5,1.4,0.529,0.307,0.76,11.9,0.207
7,Kevin Durant,34.2,26.4,6.8,5.4,0.7,1.8,0.516,0.419,0.889,10.4,0.215
8,DeMar DeRozan,33.9,23,3.9,5.2,1.1,0.3,0.456,0.31,0.825,9.6,0.17
9,LaMarcus Aldridge,33.5,23.1,8.5,2,0.6,1.2,0.51,0.293,0.837,10.9,0.209
10,Jimmy Butler,36.7,22.2,5.3,4.9,2,0.4,0.474,0.35,0.854,8.9,0.198
10,Stephen Curry,32,26.4,5.1,6.1,1.6,0.2,0.495,0.423,0.921,9.1,0.267
12,Joel Embiid,30.3,22.9,11,3.2,0.6,1.8,0.483,0.308,0.769,6.2,0.155
13,Victor Oladipo,34,23.1,5.2,4.3,2.4,0.8,0.477,0.371,0.799,8.2,0.155
1,Russell Westbrook,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,13.1,0.224
2,James Harden,36.4,29.1,8.1,11.2,1.5,0.5,0.44,0.347,0.847,15,0.245
3,Kawhi Leonard,33.4,25.5,5.8,3.5,1.8,0.7,0.485,0.38,0.88,13.6,0.264
