Rank,Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
5,Kobe Bryant,37.6,24,5.5,5.1,1.7,0.4,0.438,0.327,0.852,10.7,0.21
6,Shaquille O'Neal,36.8,21.5,11.5,2.9,0.5,2.5,0.584,,0.49,9.9,0.192
7,Ben Wallace,37.7,9.5,12.4,1.7,1.8,3,0.421,0.125,0.49,10.2,0.16
8,Jason Kidd,36.6,15.5,6.4,9.2,1.8,0.2,0.384,0.321,0.827,7.2,0.141
9,LeBron James,39.5,20.9,5.5,5.9,1.6,0.7,0.417,0.29,0.754,5.1,0.078
10,Sam Cassell,35,19.8,3.3,7.3,1.3,0.2,0.488,0.398,0.873,12.1,0.205
10,Baron Davis,40.1,22.9,4.3,7.5,2.4,0.4,0.395,0.321,0.673,7.5,0.133
10,Dirk Nowitzki,37.9,21.8,8.7,2.7,1.2,1.4,0.462,0.341,0.877,11.5,0.19
13,Andrei Kirilenko,37.1,16.5,8.1,3.1,1.9,2.8,0.443,0.338,0.79,11.6,0.192
1,Tim Duncan,39.3,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71,16.5,0.248
2,Kevin Garnett,40.5,23,13.4,6,1.4,1.6,0.502,0.282,0.751,15.6,0.225
3,Kobe Bryant,41.5,30,6.9,5.9,2.2,0.8,0.451,0.383,0.843,14.9,0.21
4,Tracy McGrady,39.4,32.1,6.5,5.5,1.7,0.8,0.457,0.386,0.793,16.1,0.262
5,Shaquille O'Neal,37.8,27.5,11.1,3.1,0.6,2.4,0.574,,0.622,13.2,0.25
6,Allen Iverson,42.5,27.6,4.2,5.5,2.7,0.2,0.414,0.277,0.774,9.2,0.127
7,Dirk Nowitzki,39,25.1,9.9,3,1.4,1,0.463,0.379,0.881,16.1,0.249
8,Ben Wallace,39.4,6.9,15.4,1.6,1.4,3.2,0.481,0.167,0.45,10.6,0.176
9,Jason Kidd,37.4,18.7,6.3,8.9,2.2,0.3,0.414,0.341,0.841,11.3,0.182
10,Chris Webber,39.1,23,10.5,5.4,1.6,1.3,0.461,0.238,0.607,6.9,0.127
11,Jamal Mashburn,40.5,21.6,6.1,5.6,1,0.2,0.422,0.389,0.848,9,0.13
11,Steve Nash,33.1,17.7,2.9,7.3,1,0.1,0.465,0.413,0.909,11.6,0.206
11,Paul Pierce,39.2,25.9,7.3,4.4,1.8,0.8,0.416,0.302,0.802,10.1,0.157
1,Tim Duncan,40.6,25.5,12.7,3.7,0.7,2.5,0.508,0.1,0.799,17.8,0.257
2,Jason Kidd,37.3,14.7,7.3,9.9,2.1,0.2,0.391,0.321,0.814,8.9,0.14
3,Shaquille O'Neal,36.1,27.2,10.7,3,0.6,2,0.579,0,0.555,13.2,0.262
4,Tracy McGrady,38.3,25.6,7.9,5.3,1.6,1,0.451,0.364,0.748,11.5,0.189
5,Kobe Bryant,38.3,25.2,5.5,5.5,1.5,0.4,0.469,0.25,0.829,12.7,0.199
6,Gary Payton,40.3,22.1,4.8,9,1.6,0.3,0.467,0.314,0.797,12.6,0.183
7,Chris Webber,38.4,24.5,10.1,4.8,1.7,1.4,0.495,0.263,0.749,8.6,0.2
8,Dirk Nowitzki,38,23.4,9.9,2.4,1.1,1,0.477,0.397,0.853,13.4,0.222
9,Allen Iverson,43.7,31.4,4.5,5.5,2.8,0.2,0.398,0.291,0.812,6.9,0.126
10,Ben Wallace,36.5,7.6,13,1.4,1.7,3.5,0.531,0,0.423,11.6,0.19
1,Allen Iverson,42,31.1,3.8,4.6,2.5,0.3,0.42,0.32,0.814,11.8,0.19
2,Tim Duncan,38.7,22.2,12.2,3,0.9,2.3,0.499,0.259,0.618,13.2,0.2
3,Shaquille O'Neal,39.5,28.7,12.7,3.7,0.6,2.8,0.572,0,0.513,14.9,0.245
4,Chris Webber,40.5,27.1,11.1,4.2,1.3,1.7,0.481,0.071,0.703,11,0.186
5,Kevin Garnett,39.5,22,11.4,5,1.4,1.8,0.477,0.288,0.764,11.8,0.176
6,Tracy McGrady,40.1,26.8,7.5,4.6,1.5,1.5,0.457,0.355,0.733,12.2,0.189
7,Karl Malone,35.7,23.2,8.3,4.5,1.1,0.8,0.498,0.4,0.793,13.1,0.217
8,Jason Kidd,39.8,16.9,6.4,9.8,2.2,0.3,0.411,0.297,0.814,9.6,0.15
9,Kobe Bryant,40.9,28.5,5.9,5,1.7,0.6,0.464,0.305,0.853,11.3,0.196
10,David Robinson,29.6,14.4,8.6,1.5,1,2.5,0.486,0,0.747,12.1,0.246
1,Karl Malone,37.4,23.8,9.4,4.1,1.3,0.6,0.493,0,0.788,9.6,0.252
2,Alonzo Mourning,38.1,20.1,11,1.6,0.7,3.9,0.511,0,0.652,7.9,0.216
3,Tim Duncan,39.3,21.7,11.4,2.4,0.9,2.5,0.495,0.143,0.69,8.7,0.213
4,Allen Iverson,41.5,26.8,4.9,4.6,2.3,0.1,0.412,0.291,0.751,7.2,0.173
5,Jason Kidd,41.2,16.9,6.8,10.8,2.3,0.4,0.444,0.366,0.757,8.1,0.188
6,Shaquille O'Neal,34.8,26.3,10.7,2.3,0.7,1.7,0.576,0,0.54,9,0.255
7,Chris Webber,40.9,20,13,4.1,1.4,2.1,0.486,0.118,0.454,3.6,0.102
8,Grant Hill,37,21.1,7.1,6,1.6,0.5,0.479,0,0.752,7.3,0.189
9,Gary Payton,40.2,21.7,4.9,8.7,2.2,0.2,0.434,0.295,0.721,7.2,0.172
10,Kevin Garnett,37.9,20.8,10.4,4.3,1.7,1.8,0.46,0.286,0.704,5.4,0.146
11,Shawn Kemp,35.1,20.5,9.2,2.4,1.1,1.1,0.482,0.5,0.789,6.3,0.205
1,Michael Jordan,38.8,28.7,5.8,3.5,1.7,0.5,0.465,0.238,0.784,15.8,0.238
2,Karl Malone,37.4,27,10.3,3.9,1.2,0.9,0.53,0.333,0.761,16.4,0.259
3,Gary Payton,38.4,19.2,4.6,8.3,2.3,0.2,0.453,0.338,0.744,12.5,0.19
4,Shaquille O'Neal,36.3,28.3,11.4,2.4,0.7,2.4,0.584,,0.527,10.2,0.224
5,Tim Duncan,39.1,21.1,11.9,2.7,0.7,2.5,0.549,0,0.662,12.8,0.192
6,Tim Hardaway,37.4,18.9,3.7,8.3,1.7,0.2,0.431,0.351,0.781,11.7,0.185
7,David Robinson,33.7,21.6,10.6,2.7,0.9,2.6,0.511,0.25,0.735,13.8,0.269
8,Vin Baker,35.9,19.2,8,1.9,1.1,1,0.542,0.143,0.591,10.4,0.169
9,Grant Hill,40.7,21.1,7.7,6.8,1.8,0.7,0.452,0.143,0.74,10.2,0.149
10,Scottie Pippen,37.5,19.1,5.2,5.8,1.8,1,0.447,0.318,0.777,6.6,0.193
1,Michael Jordan,37.7,30.4,6.6,4.3,2.2,0.5,0.495,0.427,0.834,20.4,0.317
2,David Robinson,36.8,25,12.2,3,1.4,3.3,0.516,0.333,0.761,18.3,0.29
3,Anfernee Hardaway,36.8,21.7,4.3,7.1,2,0.5,0.513,0.314,0.767,14.4,0.229
4,Hakeem Olajuwon,38.8,26.9,10.9,3.6,1.6,2.9,0.514,0.214,0.724,9.7,0.166
5,Scottie Pippen,36.7,19.4,6.4,5.9,1.7,0.7,0.463,0.374,0.679,12.3,0.209
6,Gary Payton,39,19.3,4.2,7.5,2.9,0.2,0.484,0.328,0.748,11.5,0.174
7,Karl Malone,38,25.7,9.8,4.2,1.7,0.7,0.519,0.4,0.723,15.1,0.233
8,Shawn Kemp,33.3,19.6,11.4,2.2,1.2,1.6,0.561,0.417,0.742,11.2,0.205
9,Grant Hill,40.8,20.2,9.8,6.9,1.3,0.6,0.462,0.192,0.751,11.7,0.172
9,Shaquille O'Neal,36,26.6,11,2.9,0.6,2.1,0.573,0.5,0.487,6.9,0.171
1,David Robinson,38,27.6,10.8,2.9,1.7,3.2,0.53,0.3,0.774,17.5,0.273
2,Shaquille O'Neal,37,29.3,11.4,2.7,0.9,2.4,0.583,0,0.533,14,0.23
3,Karl Malone,38.1,26.7,10.6,3.5,1.6,1,0.536,0.268,0.742,13.8,0.212
4,Patrick Ewing,37,23.9,11,2.7,0.9,2,0.503,0.286,0.75,9.6,0.157
5,Hakeem Olajuwon,39.6,27.8,10.8,3.5,1.8,3.4,0.517,0.188,0.756,10.7,0.181
6,Charles Barkley,35,23,11.1,4.1,1.6,0.7,0.486,0.338,0.748,10.6,0.214
7,Scottie Pippen,38.2,21.4,8.1,5.2,2.9,1.1,0.48,0.345,0.716,11.8,0.188
8,John Stockton,35,14.7,3.1,12.3,2.4,0.3,0.542,0.449,0.804,13.9,0.233
9,Gary Payton,36.8,20.6,3.4,7.1,2.5,0.2,0.509,0.302,0.716,11.7,0.187
10,Anfernee Hardaway,37.7,20.9,4.4,7.2,1.7,0.3,0.512,0.349,0.769,10.7,0.177
11,Michael Jordan,39.3,26.9,6.9,5.3,1.8,0.8,0.411,0.5,0.801,2.3,0.167
12,Dennis Rodman,32,7.1,16.8,2,0.6,0.5,0.571,0,0.676,5.8,0.178
1,Michael Jordan,38.8,30.1,6.4,6.1,2.3,0.9,0.519,0.27,0.832,17.7,0.274
2,Clyde Drexler,36.2,25,6.6,6.7,1.8,0.9,0.47,0.337,0.794,12.8,0.223
3,David Robinson,37.7,23.2,12.2,2.7,2.3,4.5,0.551,0.125,0.701,13.9,0.26
4,Karl Malone,37.7,28,11.2,3,1.3,0.6,0.526,0.176,0.778,15.1,0.237
5,Patrick Ewing,38.4,24,11.2,1.9,1.1,3,0.522,0.167,0.738,13,0.198
6,Chris Mullin,41.3,25.6,5.6,3.5,2.1,0.8,0.524,0.366,0.833,10.8,0.155
7,Mark Price,29.7,17.3,2.4,7.4,1.3,0.2,0.488,0.387,0.947,9.1,0.205
8,Tim Hardaway,41.1,23.4,3.8,10,2,0.2,0.461,0.338,0.766,9.2,0.132
9,Scottie Pippen,38.6,21,7.7,7,1.9,1.1,0.506,0.2,0.76,12.7,0.192
10,Dennis Rodman,40.3,9.8,18.7,2.3,0.8,0.9,0.539,0.317,0.6,12.6,0.183
11,Brad Daugherty,36.2,21.5,10.4,3.6,0.9,1.1,0.57,0,0.777,11.7,0.213
12,Charles Barkley,38.4,23.1,11.1,4.1,1.8,0.6,0.552,0.234,0.695,12.3,0.205
12,John Stockton,36.6,15.8,3.3,13.7,3,0.3,0.482,0.407,0.842,13.4,0.215
1,Hakeem Olajuwon,41,27.3,11.9,3.6,1.6,3.7,0.528,0.421,0.716,14.3,0.21
2,David Robinson,40.5,29.8,10.7,4.8,1.7,3.3,0.507,0.345,0.749,20,0.296
3,Scottie Pippen,38.3,22,8.7,5.6,2.9,0.8,0.491,0.32,0.66,11.2,0.194
4,Shaquille O'Neal,39.8,29.3,13.2,2.4,0.9,2.9,0.599,0,0.554,16.9,0.252
5,Patrick Ewing,37.6,24.5,11.2,2.3,1.1,2.7,0.496,0.286,0.765,13.1,0.211
6,Gary Payton,35.1,16.5,3.3,6,2.3,0.2,0.504,0.278,0.595,9.3,0.155
7,Shawn Kemp,32.9,18.1,10.8,2.6,1.8,2.1,0.538,0.25,0.741,11.7,0.216
7,Karl Malone,40.6,25.2,11.5,4,1.5,1.5,0.497,0.25,0.694,13.4,0.193
9,Mark Price,31.4,17.3,3,7.8,1.4,0.1,0.478,0.397,0.888,10,0.201
10,Charles Barkley,35.4,21.6,11.2,4.6,1.6,0.6,0.495,0.27,0.704,8.8,0.185
1,Charles Barkley,37.6,25.6,12.2,5.1,1.6,1,0.52,0.305,0.765,14.4,0.242
2,Hakeem Olajuwon,39.5,26.1,13,3.5,1.8,4.2,0.529,0,0.779,15.8,0.234
3,Michael Jordan,39.3,32.6,6.7,5.5,2.8,0.8,0.495,0.352,0.837,17.2,0.27
4,Patrick Ewing,37.1,24.2,12.1,1.9,0.9,2,0.503,0.143,0.719,10.6,0.17
5,Dominique Wilkins,37.3,29.9,6.8,3.2,1,0.4,0.468,0.38,0.828,10.5,0.191
6,David Robinson,39.2,23.4,11.7,3.7,1.5,3.2,0.501,0.176,0.732,13.2,0.197
7,Shaquille O'Neal,37.9,23.4,13.9,1.9,0.7,3.5,0.562,0,0.592,10.4,0.163
8,Karl Malone,37.8,27,11.2,3.8,1.5,1,0.552,0.2,0.74,15.4,0.238
8,Mark Price,31.7,18.2,2.7,8,1.2,0.1,0.484,0.416,0.948,9.8,0.197
10,Brad Daugherty,37.9,20.2,10.2,4.4,0.7,0.8,0.571,0.5,0.795,12.7,0.226
10,Clyde Drexler,34.1,19.9,6.3,5.7,1.9,0.8,0.429,0.233,0.839,6,0.171
10,Joe Dumars,40.2,23.5,1.9,4,1,0.1,0.466,0.375,0.864,9.1,0.141
10,Shawn Kemp,33.1,17.8,10.7,2,1.5,1.9,0.492,0,0.712,9.1,0.169
10,John Stockton,34.9,15.1,2.9,12,2.4,0.3,0.486,0.385,0.798,10.6,0.177
1,Michael Jordan,38.8,30.1,6.4,6.1,2.3,0.9,0.519,0.27,0.832,17.7,0.274
2,Clyde Drexler,36.2,25,6.6,6.7,1.8,0.9,0.47,0.337,0.794,12.8,0.223
3,David Robinson,37.7,23.2,12.2,2.7,2.3,4.5,0.551,0.125,0.701,13.9,0.26
4,Karl Malone,37.7,28,11.2,3,1.3,0.6,0.526,0.176,0.778,15.1,0.237
5,Patrick Ewing,38.4,24,11.2,1.9,1.1,3,0.522,0.167,0.738,13,0.198
6,Chris Mullin,41.3,25.6,5.6,3.5,2.1,0.8,0.524,0.366,0.833,10.8,0.155
7,Mark Price,29.7,17.3,2.4,7.4,1.3,0.2,0.488,0.387,0.947,9.1,0.205
8,Tim Hardaway,41.1,23.4,3.8,10,2,0.2,0.461,0.338,0.766,9.2,0.132
9,Scottie Pippen,38.6,21,7.7,7,1.9,1.1,0.506,0.2,0.76,12.7,0.192
10,Dennis Rodman,40.3,9.8,18.7,2.3,0.8,0.9,0.539,0.317,0.6,12.6,0.183
11,Brad Daugherty,36.2,21.5,10.4,3.6,0.9,1.1,0.57,0,0.777,11.7,0.213
12,Charles Barkley,38.4,23.1,11.1,4.1,1.8,0.6,0.552,0.234,0.695,12.3,0.205
12,John Stockton,36.6,15.8,3.3,13.7,3,0.3,0.482,0.407,0.842,13.4,0.215
14,Larry Bird,36.9,20.2,9.6,6.8,0.9,0.7,0.466,0.406,0.926,5.5,0.159
15,Kevin Johnson,37.2,19.7,3.7,10.7,1.5,0.3,0.479,0.217,0.807,10,0.165
16,Danny Manning,35.4,19.3,6.9,3.5,1.6,1.5,0.542,0,0.725,9.8,0.162
16,Detlef Schrempf,32.6,17.3,9.6,3.9,0.8,0.5,0.536,0.324,0.828,9.8,0.181
1,Michael Jordan,37,31.5,6,5.5,2.7,1,0.539,0.312,0.851,20.3,0.321
2,Magic Johnson,37.1,19.4,7,12.5,1.3,0.2,0.477,0.32,0.906,15.4,0.251
3,David Robinson,37.7,25.6,13,2.5,1.5,3.9,0.552,0.143,0.762,17,0.264
4,Charles Barkley,37.3,27.6,10.1,4.2,1.6,0.5,0.57,0.284,0.722,13.4,0.258
5,Karl Malone,40.3,29,11.8,3.3,1.1,1,0.527,0.286,0.77,15.5,0.225
6,Clyde Drexler,34.8,21.5,6.7,6,1.8,0.7,0.482,0.319,0.794,12.4,0.209
7,Kevin Johnson,36,22.2,3.5,10.1,2.1,0.1,0.516,0.205,0.843,12.7,0.22
8,Dominique Wilkins,38,25.9,9,3.3,1.5,0.8,0.47,0.341,0.829,11.4,0.177
9,Larry Bird,38,19.4,8.5,7.2,1.8,1,0.454,0.389,0.891,6.6,0.14
9,Terry Porter,32.9,17,3.5,8,2,0.1,0.515,0.415,0.823,13,0.235
11,Patrick Ewing,38.3,26.6,11.2,3,1,3.2,0.514,0,0.745,10,0.155
